n,real,imag,mag,phase
0,4,0,4,0
1,-1.83691e-16,-2.22045e-16,2.88177e-16,-2.26195
2,0,-2.44921e-16,2.44921e-16,-1.5708
3,3.29028e-16,-3.33067e-16,4.68181e-16,-0.791498
4,4,1.46953e-15,4,3.67382e-16
5,-2.47277e-15,-6.66134e-16,2.56092e-15,-2.87845
6,0,-7.34764e-16,7.34764e-16,-1.5708
7,-9.34609e-16,-8.88178e-16,1.28932e-15,-2.38166
8,4,2.93906e-15,4,7.34764e-16
9,-2.98549e-15,-1.11022e-15,3.18524e-15,-2.78557
10,0,-4.77732e-15,4.77732e-15,-1.5708
11,4.90718e-15,-4.88498e-15,6.92412e-15,-0.783131
12,4,4.40858e-15,4,1.10215e-15
13,1.94189e-15,1.9984e-15,2.78649e-15,0.79974
14,0,1.83826e-15,1.83826e-15,1.5708
15,1.25253e-14,-5.44009e-15,1.36557e-14,-0.409744
