n,real,imag,mag,phase
0,-2.66454e-15,0,2.66454e-15,3.14159
1,-1.55431e-15,-2.58127e-15,3.01311e-15,-2.1128
2,4.66294e-15,2.83107e-15,5.45508e-15,0.545655
3,3.9968e-15,-1.44329e-15,4.24941e-15,-0.346539
4,2.60902e-15,-2.38698e-15,3.5362e-15,-0.740983
5,2.498e-15,-6.66134e-15,7.11431e-15,-1.21203
6,1.2379e-14,-6.55032e-15,1.40052e-14,-0.486693
7,-8.04912e-16,7.54952e-15,7.5923e-15,1.67701
8,7.50914e-16,-3.33067e-16,8.21466e-16,-0.417476
9,1.83187e-15,-1.31006e-14,1.32281e-14,-1.43187
10,3.45279e-14,-2.22045e-15,3.45993e-14,-0.0642202
11,3.59157e-14,5.55112e-15,3.63422e-14,0.153346
12,16,7.06102e-14,16,4.41314e-15
13,4.66294e-15,1.63758e-14,1.70267e-14,1.29339
14,-3.33067e-14,4.32987e-15,3.3587e-14,3.01232
15,2.88658e-15,-4.21052e-14,4.2204e-14,-1.50235
16,1.55431e-15,5.52778e-16,1.64968e-15,0.341692
17,9.21485e-15,2.1233e-14,2.31464e-14,1.16134
18,-2.57572e-14,-1.97065e-14,3.24311e-14,-2.48851
19,1.53211e-14,-2.13163e-14,2.62511e-14,-0.947597
20,16,5.9952e-15,16,3.747e-16
21,1.52101e-14,-2.45359e-14,2.88679e-14,-1.01587
22,-8.38218e-15,-1.06581e-14,1.35594e-14,-2.23723
23,-8.24341e-15,1.31006e-14,1.54784e-14,2.13244
24,-3.39682e-15,-3.44169e-15,4.83566e-15,-2.34963
25,-2.52298e-14,-1.52101e-14,2.946e-14,-2.59907
26,-8.60423e-15,2.13163e-14,2.29873e-14,1.95444
27,1.58762e-14,6.21725e-15,1.70501e-14,0.373251
28,5.55112e-16,-3.21965e-15,3.26715e-15,-1.40006
29,-7.10543e-15,1.16018e-14,1.36048e-14,2.12031
30,-2.22045e-16,-2.13163e-14,2.13174e-14,-1.58121
31,1.9984e-15,-8.9373e-15,9.15799e-15,-1.35081
