n,real,imag,mag,phase
0,-1.15463e-14,0,1.15463e-14,3.14159
1,-7.32747e-15,4.16334e-16,7.33929e-15,3.08484
2,-7.54952e-15,-1.03806e-14,1.28356e-14,-2.19959
3,-5.55112e-15,-6.93889e-15,8.88612e-15,-2.24554
4,3.55271e-15,-7.93809e-15,8.69685e-15,-1.14998
5,1.11022e-15,-1.18794e-14,1.19312e-14,-1.47761
6,8.38218e-15,-8.77076e-15,1.21321e-14,-0.808048
7,-2.02616e-15,-4.21885e-15,4.68017e-15,-2.01853
8,9.1682e-15,3.33067e-16,9.17425e-15,0.0363125
9,-6.77236e-15,5.21805e-15,8.54944e-15,2.48511
10,1.04361e-14,-2.22045e-15,1.06697e-14,-0.20964
11,1.90958e-14,-1.17684e-14,2.24309e-14,-0.552303
12,16,-1.44329e-15,16,-9.02056e-17
13,3.10862e-14,-3.44169e-15,3.12762e-14,-0.110265
14,7.54952e-15,-6.77236e-15,1.0142e-14,-0.731188
15,1.87628e-14,-9.46465e-15,2.10148e-14,-0.467192
16,-6.77236e-15,5.52778e-16,6.79488e-15,3.06015
17,2.52021e-14,-1.10745e-14,2.75279e-14,-0.414027
18,1.4766e-14,-9.27036e-15,1.74348e-14,-0.560624
19,4.24105e-14,-4.10783e-15,4.2609e-14,-0.0965574
20,16,7.83817e-14,16,4.89886e-15
21,-1.60982e-15,-5.10703e-15,5.35474e-15,-1.87615
22,-3.31402e-14,-9.65894e-15,3.45191e-14,-2.85799
23,-1.66533e-14,-3.88578e-15,1.71007e-14,-2.91236
24,5.24251e-15,-4.32987e-15,6.79939e-15,-0.690344
25,-2.64233e-14,-3.21965e-15,2.66187e-14,-3.02034
26,-1.20459e-14,2.33147e-14,2.62427e-14,2.04769
27,1.4877e-14,1.16573e-14,1.89002e-14,0.66465
28,1.9984e-15,2.16493e-15,2.94628e-15,0.825377
29,-1.69864e-14,1.70419e-14,2.40617e-14,2.35456
30,-1.23235e-14,-8.10463e-15,1.47497e-14,-2.55985
31,-4.10783e-15,-1.16018e-14,1.23076e-14,-1.91109
