n,value
0,1
1,1
2,1
3,1
4,0.707107
5,0.707107
6,0.707107
7,0.707107
8,6.12323e-17
9,6.12323e-17
10,6.12323e-17
11,6.12323e-17
12,-0.707107
13,-0.707107
14,-0.707107
15,-0.707107
16,-1
17,-1
18,-1
19,-1
20,-0.707107
21,-0.707107
22,-0.707107
23,-0.707107
24,-1.83697e-16
25,-1.83697e-16
26,-1.83697e-16
27,-1.83697e-16
28,0.707107
29,0.707107
30,0.707107
31,0.707107
32,1
33,1
34,1
35,1
36,0.707107
37,0.707107
38,0.707107
39,0.707107
40,3.06162e-16
41,3.06162e-16
42,3.06162e-16
43,3.06162e-16
44,-0.707107
45,-0.707107
46,-0.707107
47,-0.707107
48,-1
49,-1
50,-1
51,-1
52,-0.707107
53,-0.707107
54,-0.707107
55,-0.707107
56,-4.28626e-16
57,-4.28626e-16
58,-4.28626e-16
59,-4.28626e-16
60,0.707107
61,0.707107
62,0.707107
63,0.707107
64,1
65,1
66,1
67,1
68,0.707107
69,0.707107
70,0.707107
71,0.707107
72,5.51091e-16
73,5.51091e-16
74,5.51091e-16
75,5.51091e-16
76,-0.707107
77,-0.707107
78,-0.707107
79,-0.707107
80,-1
81,-1
82,-1
83,-1
84,-0.707107
85,-0.707107
86,-0.707107
87,-0.707107
88,-2.44991e-15
89,-2.44991e-15
90,-2.44991e-15
91,-2.44991e-15
92,0.707107
93,0.707107
94,0.707107
95,0.707107
96,1
97,1
98,1
99,1
100,0.707107
101,0.707107
102,0.707107
103,0.707107
104,-9.80336e-16
105,-9.80336e-16
106,-9.80336e-16
107,-9.80336e-16
108,-0.707107
109,-0.707107
110,-0.707107
111,-0.707107
112,-1
113,-1
114,-1
115,-1
116,-0.707107
117,-0.707107
118,-0.707107
119,-0.707107
120,-2.69484e-15
121,-2.69484e-15
122,-2.69484e-15
123,-2.69484e-15
124,0.707107
125,0.707107
126,0.707107
127,0.707107
