n,real,imag,mag,phase
0,-5.66214e-15,0,5.66214e-15,3.14159
1,-9.99201e-16,-4.19109e-15,4.30856e-15,-1.80484
2,1.9984e-15,-2.94209e-15,3.55661e-15,-0.974136
3,-2.10942e-15,-5.27356e-15,5.6798e-15,-1.9513
4,1.01585e-14,-2.16493e-15,1.03867e-14,-0.209974
5,-1.66533e-16,-8.88178e-16,9.03656e-16,-1.75614
6,6.88338e-15,-4.32987e-15,8.13196e-15,-0.561494
7,2.27596e-15,-3.9968e-15,4.59939e-15,-1.05315
8,5.73671e-15,-4.44089e-16,5.75388e-15,-0.0772577
9,9.71445e-16,7.99361e-15,8.05242e-15,1.44986
10,1.41553e-14,-3.33067e-16,1.41593e-14,-0.0235251
11,3.14748e-14,-2.88658e-15,3.16069e-14,-0.0914549
12,16,3.93019e-14,16,2.45637e-15
13,1.64313e-14,-1.22125e-15,1.64766e-14,-0.0741879
14,-5.10703e-15,-9.4369e-16,5.19348e-15,-2.95887
15,3.33067e-16,-1.06304e-14,1.06356e-14,-1.53947
16,-6.88338e-15,5.52778e-16,6.90554e-15,3.06146
17,6.21725e-15,-1.01308e-14,1.18864e-14,-1.02037
18,2.66454e-15,-1.45439e-14,1.4786e-14,-1.3896
19,2.93099e-14,-4.55191e-15,2.96612e-14,-0.154072
20,16,3.76921e-14,16,2.35575e-15
21,9.88098e-15,-1.63203e-14,1.90784e-14,-1.02638
22,-2.85882e-14,-1.26565e-14,3.12646e-14,-2.72481
23,-9.13158e-15,-7.43849e-15,1.17778e-14,-2.45802
24,2.03307e-15,-3.55271e-15,4.0933e-15,-1.05103
25,-2.23432e-14,-2.9976e-15,2.25434e-14,-3.00823
26,-1.36002e-14,1.92069e-14,2.35344e-14,2.18693
27,1.33782e-14,6.66134e-16,1.33948e-14,0.0497514
28,8.21565e-15,-3.4972e-15,8.92902e-15,-0.402443
29,-1.32117e-14,1.57097e-14,2.05266e-14,2.27004
30,-2.88658e-15,-1.54876e-14,1.57543e-14,-1.75506
31,1.9984e-15,-7.32747e-15,7.59509e-15,-1.30454
