n,real,imag,mag,phase
0,-6.88338e-15,0,6.88338e-15,3.14159
1,-2.9976e-15,-4.19109e-15,5.15275e-15,-2.19167
2,-2.22045e-16,-6.10623e-16,6.49741e-16,-1.91957
3,-1.11022e-16,1.72085e-15,1.72442e-15,1.63522
4,16,-2.66454e-15,16,-1.66533e-16
5,-1.05471e-15,6.66134e-16,1.24746e-15,2.57828
6,-2.88658e-15,3.33067e-16,2.90573e-15,3.02672
7,-8.16014e-15,-9.32587e-15,1.23919e-14,-2.28963
8,4.98204e-15,-1.55431e-15,5.21887e-15,-0.302414
9,-5.63438e-15,1.55431e-15,5.84484e-15,2.87243
10,-2.83107e-15,-6.77236e-15,7.34029e-15,-1.96675
11,-3.38618e-15,-6.10623e-15,6.98228e-15,-2.07712
12,3.55271e-15,-6.99441e-15,7.84497e-15,-1.10082
13,-1.55431e-15,-3.55271e-15,3.87784e-15,-1.98321
14,-8.88178e-16,7.27196e-15,7.326e-15,1.69233
15,1.02141e-14,2.69229e-15,1.05629e-14,0.257725
16,-5.66214e-15,-4.47152e-15,7.21486e-15,-2.47315
17,6.99441e-15,9.96425e-15,1.21741e-14,0.958763
18,-5.55112e-16,1.11022e-16,5.66105e-16,2.9442
19,-4.32987e-15,1.17129e-14,1.24875e-14,1.92488
20,2.38698e-15,6.55032e-15,6.97168e-15,1.22135
21,-6.66134e-16,1.70974e-14,1.71104e-14,1.60974
22,7.71605e-15,-9.99201e-15,1.26245e-14,-0.913224
23,-1.11855e-14,-8.32667e-15,1.39445e-14,-2.50167
24,9.79591e-15,-2.66454e-15,1.01518e-14,-0.26558
25,-1.34059e-14,2.67564e-14,2.9927e-14,2.03527
26,-2.39253e-14,-8.99281e-15,2.55596e-14,-2.78206
27,4.33542e-14,5.32907e-15,4.36805e-14,0.122306
28,16,7.01661e-14,16,4.38538e-15
29,-8.88178e-15,-6.16174e-15,1.08099e-14,-2.53507
30,-5.9952e-14,-3.10307e-14,6.75067e-14,-2.66397
31,6.32827e-15,-4.60743e-15,7.82786e-15,-0.629318
