n,real,imag,mag,phase
0,-6.70711e-15,0,6.70711e-15,3.14159
1,-3.2198e-15,-4.42752e-15,5.47449e-15,-2.19956
2,-7.17322e-16,-4.8528e-16,8.66053e-16,-2.5468
3,-2.11004e-15,1.03817e-15,2.35161e-15,2.68435
4,16,-9.24794e-15,16,-5.77996e-16
5,4.02158e-15,-2.05897e-15,4.51802e-15,-0.473185
6,-3.72746e-16,-2.29637e-15,2.32642e-15,-1.73171
7,2.21098e-15,-4.46862e-15,4.98568e-15,-1.11133
8,5.81893e-15,-8.88178e-16,5.88632e-15,-0.151467
9,2.13173e-15,3.45551e-15,4.06015e-15,1.01804
10,-7.53873e-16,2.15783e-16,7.84147e-16,2.86281
11,-1.01894e-16,-1.49582e-15,1.49929e-15,-1.63881
12,5.32907e-15,8.10245e-16,5.39031e-15,0.150887
13,-1.80965e-15,1.60132e-15,2.41642e-15,2.4172
14,1.84394e-15,2.02687e-15,2.74013e-15,0.832621
15,-1.12292e-15,3.4966e-15,3.67249e-15,1.88154
16,-4.93075e-15,0,4.93075e-15,3.14159
17,-1.12292e-15,-3.4966e-15,3.67249e-15,-1.88154
18,1.84394e-15,-2.02687e-15,2.74013e-15,-0.832621
19,-1.80965e-15,-1.60132e-15,2.41642e-15,-2.4172
20,5.32907e-15,-2.14251e-15,5.74364e-15,-0.382266
21,-1.01894e-16,1.49582e-15,1.49929e-15,1.63881
22,-7.53873e-16,-2.15783e-16,7.84147e-16,-2.86281
23,2.13173e-15,-3.45551e-15,4.06015e-15,-1.01804
24,5.81893e-15,8.88178e-16,5.88632e-15,0.151467
25,2.21098e-15,4.46862e-15,4.98568e-15,1.11133
26,-3.72746e-16,2.29637e-15,2.32642e-15,1.73171
27,4.02158e-15,2.05897e-15,4.51802e-15,0.473185
28,16,1.05802e-14,16,6.61263e-16
29,-2.11004e-15,-1.03817e-15,2.35161e-15,-2.68435
30,-7.17322e-16,4.8528e-16,8.66053e-16,2.5468
31,-3.2198e-15,4.42752e-15,5.47449e-15,2.19956
