n,real,imag,mag,phase
0,-5.32907e-15,0,5.32907e-15,3.14159
1,-1.55431e-15,-3.58047e-15,3.90329e-15,-1.98036
2,-1.44329e-15,3.9968e-15,4.24941e-15,1.91734
3,16,1.16573e-15,16,7.28584e-17
4,-1.16573e-15,-3.77476e-15,3.95066e-15,-1.87033
5,16,-1.55431e-15,16,-9.71445e-17
6,-5.2458e-15,-6.21725e-15,8.13466e-15,-2.27165
7,-4.57967e-16,0,4.57967e-16,3.14159
8,-5.09667e-15,2.33147e-15,5.60463e-15,2.71256
9,-1.02557e-14,-6.77236e-15,1.229e-14,-2.55797
10,-3.27516e-15,-2.22045e-15,3.9569e-15,-2.54581
11,-6.93889e-15,-8.21565e-15,1.07538e-14,-2.27214
12,-4.21885e-15,-2.27596e-14,2.31473e-14,-1.75408
13,1.14353e-14,-9.54792e-15,1.48973e-14,-0.695692
14,-2.02061e-14,-1.01585e-14,2.26159e-14,-2.67575
15,2.77556e-15,-4.67681e-15,5.43841e-15,-1.03519
16,-1.55431e-15,-8.27231e-15,8.41707e-15,-1.75652
17,-1.67644e-14,1.36835e-14,2.16398e-14,2.45704
18,-1.28786e-14,-4.66294e-15,1.36968e-14,-2.79421
19,1.99285e-14,1.66533e-16,1.99292e-14,0.00835635
20,6.27276e-15,-1.29341e-14,1.43749e-14,-1.11924
21,2.63678e-14,7.21645e-16,2.63777e-14,0.0273616
22,1.77358e-14,-1.69864e-14,2.4558e-14,-0.763819
23,3.5319e-14,-1.9984e-15,3.53755e-14,-0.0565213
24,4.4963e-14,1.03251e-14,4.61333e-14,0.225722
25,3.22659e-14,2.07612e-14,3.83681e-14,0.57175
26,-3.96072e-14,-1.03251e-14,4.09309e-14,-2.88658
27,16,1.14131e-13,16,7.13318e-15
28,7.43849e-15,2.30926e-14,2.42611e-14,1.25918
29,16,2.77001e-14,16,1.73125e-15
30,-6.23945e-14,-3.4861e-14,7.14728e-14,-2.63208
31,-2.42029e-14,-1.85685e-14,3.05052e-14,-2.48717
