n,real,imag,mag,phase
0,-6.88338e-15,0,6.88338e-15,3.14159
1,-1.9984e-15,-3.16414e-15,3.74237e-15,-2.13411
2,-1.33227e-15,4.996e-15,5.17059e-15,1.8314
3,16,4.44089e-16,16,2.77556e-17
4,-1.11022e-15,-3.21965e-15,3.40569e-15,-1.90286
5,16,-2.44249e-15,16,-1.52656e-16
6,-4.88498e-15,-5.10703e-15,7.06716e-15,-2.33398
7,1.11022e-16,6.66134e-16,6.75322e-16,1.40565
8,-5.2069e-15,1.77636e-15,5.50157e-15,2.81282
9,-9.99201e-15,-6.21725e-15,1.17684e-14,-2.58499
10,-3.9968e-15,-2.66454e-15,4.80356e-15,-2.55359
11,-7.10543e-15,-8.65974e-15,1.12017e-14,-2.25792
12,-4.66294e-15,-2.30926e-14,2.35587e-14,-1.77004
13,1.11022e-14,-9.4369e-15,1.4571e-14,-0.704494
14,-1.95399e-14,-9.99201e-15,2.19465e-14,-2.6689
15,2.22045e-15,-4.71845e-15,5.2148e-15,-1.13095
16,-1.11022e-15,-8.27231e-15,8.34648e-15,-1.70421
17,-1.64313e-14,1.37113e-14,2.14006e-14,2.44619
18,-1.35447e-14,-4.77396e-15,1.43614e-14,-2.80273
19,1.90958e-14,-1.11022e-16,1.90962e-14,-0.00581389
20,5.55112e-15,-1.26565e-14,1.38204e-14,-1.15747
21,2.70894e-14,1.33227e-15,2.71222e-14,0.0491407
22,1.75415e-14,-1.64313e-14,2.40352e-14,-0.75273
23,3.4972e-14,-2.22045e-15,3.50424e-14,-0.063407
24,4.44069e-14,1.06581e-14,4.5668e-14,0.235556
25,3.33067e-14,2.02061e-14,3.89566e-14,0.545307
26,-3.95239e-14,-1.02141e-14,4.08224e-14,-2.8887
27,16,1.13465e-13,16,7.09155e-15
28,8.54872e-15,2.29816e-14,2.45201e-14,1.21468
29,16,2.75335e-14,16,1.72085e-15
30,-6.19504e-14,-3.51941e-14,7.12494e-14,-2.62496
31,-2.44249e-14,-1.81521e-14,3.04315e-14,-2.50247
