k,real,imag,mag,phase
0,2.44089,0,2.44089,0
1,2.50834,0.503052,2.55829,0.197926
2,2.74431,1.1287,2.96735,0.3902
3,3.30243,2.12799,3.92866,0.572407
4,4.8595,4.45497,6.59253,0.741995
5,17.2285,21.6298,27.6526,0.898184
6,-5.87857,-10.0484,11.6416,-2.10013
7,-1.84337,-4.38701,4.75856,-1.96858
8,-0.818022,-2.88263,2.99645,-1.8473
9,-0.359002,-2.16897,2.19848,-1.73483
10,-0.103022,-1.74376,1.7468,-1.62981
11,0.0578926,-1.45668,1.45783,-1.53107
12,0.167028,-1.24685,1.25798,-1.43763
13,0.245041,-1.08479,1.11212,-1.34864
14,0.302997,-0.954452,1.00139,-1.2634
15,0.347332,-0.846314,0.914815,-1.18135
16,0.382033,-0.75434,0.845564,-1.102
17,0.40969,-0.67451,0.789183,-1.02496
18,0.432052,-0.604031,0.742645,-0.949888
19,0.45034,-0.540896,0.703828,-0.876502
20,0.465428,-0.483618,0.6712,-0.804562
21,0.477955,-0.431069,0.643631,-0.733866
22,0.488396,-0.382373,0.620274,-0.664236
23,0.497114,-0.336834,0.600482,-0.59552
24,0.504381,-0.29389,0.583757,-0.527583
25,0.510412,-0.253077,0.569709,-0.460306
26,0.515369,-0.214007,0.558036,-0.393584
27,0.519382,-0.176347,0.548503,-0.32732
28,0.522546,-0.139807,0.540926,-0.261427
29,0.524937,-0.104129,0.535165,-0.195823
30,0.526609,-0.0690789,0.53112,-0.130432
31,0.527597,-0.0344383,0.52872,-0.0651813
32,0.527925,0,0.527925,0
33,0.527597,0.0344383,0.52872,0.0651813
34,0.526609,0.0690789,0.53112,0.130432
35,0.524937,0.104129,0.535165,0.195823
36,0.522546,0.139807,0.540926,0.261427
37,0.519382,0.176347,0.548503,0.32732
38,0.515369,0.214007,0.558036,0.393584
39,0.510412,0.253077,0.569709,0.460306
40,0.504381,0.29389,0.583757,0.527583
41,0.497114,0.336834,0.600482,0.59552
42,0.488396,0.382373,0.620274,0.664236
43,0.477955,0.431069,0.643631,0.733866
44,0.465428,0.483618,0.6712,0.804562
45,0.45034,0.540896,0.703828,0.876502
46,0.432052,0.604031,0.742645,0.949888
47,0.40969,0.67451,0.789183,1.02496
48,0.382033,0.75434,0.845564,1.102
49,0.347332,0.846314,0.914815,1.18135
50,0.302997,0.954452,1.00139,1.2634
51,0.245041,1.08479,1.11212,1.34864
52,0.167028,1.24685,1.25798,1.43763
53,0.0578926,1.45668,1.45783,1.53107
54,-0.103022,1.74376,1.7468,1.62981
55,-0.359002,2.16897,2.19848,1.73483
56,-0.818022,2.88263,2.99645,1.8473
57,-1.84337,4.38701,4.75856,1.96858
58,-5.87857,10.0484,11.6416,2.10013
59,17.2285,-21.6298,27.6526,-0.898184
60,4.8595,-4.45497,6.59253,-0.741995
61,3.30243,-2.12799,3.92866,-0.572407
62,2.74431,-1.1287,2.96735,-0.3902
63,2.50834,-0.503052,2.55829,-0.197926
