k,real,imag,mag,phase
0,-1.26458e-15,0,1.26458e-15,3.14159
1,1.40286e-15,-3.77346e-15,4.02579e-15,-1.21486
2,-8.12391e-16,4.26037e-15,4.33713e-15,1.75922
3,-1.75784e-15,5.69616e-16,1.84783e-15,2.82823
4,-9.33695e-15,3.79361e-15,1.00782e-14,2.75567
5,32,-1.72119e-14,32,-5.37871e-16
6,8.85524e-15,2.67978e-15,9.25184e-15,0.293859
7,3.13073e-15,-1.58619e-15,3.50962e-15,-0.468954
8,-1.74188e-15,5.93219e-15,6.18264e-15,1.8564
9,-7.16679e-16,-3.38881e-15,3.46376e-15,-1.77921
10,1.13737e-16,-3.04051e-15,3.04264e-15,-1.53341
11,-2.35967e-16,1.94118e-15,1.95547e-15,1.69176
12,3.77732e-16,5.26733e-16,6.48173e-16,0.948671
13,-1.51349e-15,-2.46243e-15,2.89037e-15,-2.12191
14,3.00162e-15,2.30714e-16,3.01047e-15,0.0767124
15,-1.30696e-16,7.34724e-16,7.46258e-16,1.74684
16,-2.94379e-15,1.23512e-15,3.1924e-15,2.74433
17,1.34972e-15,-6.01562e-16,1.47771e-15,-0.419268
18,1.98926e-15,-1.03662e-16,1.99195e-15,-0.0520639
19,-8.27519e-16,1.32351e-15,1.56092e-15,2.12957
20,-8.104e-16,-1.73739e-15,1.9171e-15,-2.00724
21,2.24911e-15,-2.00877e-15,3.01556e-15,-0.729012
22,2.39692e-15,2.77139e-15,3.66413e-15,0.857728
23,-1.23738e-16,3.79253e-16,3.98928e-16,1.88617
24,-2.03628e-15,-3.28266e-15,3.86294e-15,-2.12602
25,8.8716e-15,-1.6549e-15,9.02463e-15,-0.18442
26,1.48602e-15,8.48706e-15,8.61618e-15,1.39746
27,-1.77636e-15,-7.73755e-16,1.93756e-15,-2.73079
28,-6.73277e-16,8.41287e-15,8.43976e-15,1.65066
29,-1.01711e-14,-3.22507e-15,1.06702e-14,-2.83454
30,2.07904e-15,-1.4077e-15,2.51079e-15,-0.595185
31,-2.36171e-15,1.27744e-15,2.68506e-15,2.64577
32,-2.6246e-15,0,2.6246e-15,3.14159
33,-2.3008e-15,-1.3585e-15,2.67193e-15,-2.60823
34,2.07904e-15,1.4077e-15,2.51079e-15,0.595185
35,-1.05204e-14,2.57551e-15,1.08311e-14,2.9015
36,-6.73277e-16,-8.41287e-15,8.43976e-15,-1.65066
37,-1.77636e-15,-1.22465e-15,2.15759e-15,-2.53801
38,1.48602e-15,-8.48706e-15,8.61618e-15,-1.39746
39,8.92982e-15,1.46704e-15,9.04953e-15,0.162831
40,-2.03628e-15,3.28266e-15,3.86294e-15,2.12602
41,-4.06701e-16,-1.209e-15,1.27557e-15,-1.8953
42,2.39692e-15,-2.77139e-15,3.66413e-15,-0.857728
43,3.78868e-15,6.40219e-17,3.78922e-15,0.0168966
44,-8.104e-16,1.73739e-15,1.9171e-15,2.00724
45,-4.19129e-16,-1.51147e-15,1.56851e-15,-1.8413
46,1.98926e-15,1.03662e-16,1.99195e-15,0.0520639
47,1.99563e-15,2.70093e-16,2.01382e-15,0.134525
48,-2.94379e-15,-1.23512e-15,3.1924e-15,-2.74433
49,-1.77622e-16,-4.75604e-16,5.07689e-16,-1.92822
50,3.00162e-15,-2.30714e-16,3.01047e-15,-0.0767124
51,-1.10511e-15,1.31813e-15,1.72009e-15,2.26851
52,3.77732e-16,-5.26733e-16,6.48173e-16,-0.948671
53,1.30361e-15,-7.54596e-15,7.65773e-15,-1.39973
54,1.13737e-16,3.04051e-15,3.04264e-15,1.53341
55,9.73704e-16,2.67731e-15,2.84888e-15,1.22198
56,-1.74188e-15,-5.93219e-15,6.18264e-15,-1.8564
57,4.41212e-15,8.88304e-16,4.50066e-15,0.198677
58,8.85524e-15,-2.67978e-15,9.25184e-15,-0.293859
59,32,3.2977e-14,32,1.03053e-15
60,-9.33695e-15,-3.79361e-15,1.00782e-14,-2.75567
61,-2.1071e-15,-1.25233e-15,2.45117e-15,-2.60535
62,-8.12391e-16,-4.26037e-15,4.33713e-15,-1.75922
63,2.07598e-17,2.80114e-15,2.80122e-15,1.56339
