k,real,imag,mag,phase
0,1,0,1,0
1,1,0.71308,1.2282,0.61945
2,1,1.58537,1.87441,1.00806
3,1,2.92591,3.09208,1.24147
4,1,5.78501,5.8708,1.39963
5,1,19.4851,19.5108,1.51952
6,1,-21.1573,21.1809,-1.52357
7,1,-7.48828,7.55476,-1.43804
8,1,-4.69458,4.79991,-1.36092
9,1,-3.46121,3.60277,-1.28954
10,1,-2.75177,2.92784,-1.22223
11,1,-2.28281,2.49223,-1.15792
12,1,-1.94482,2.18686,-1.09587
13,1,-1.68641,1.9606,-1.03556
14,1,-1.48012,1.78627,-0.976621
15,1,-1.30995,1.64802,-0.918782
16,1,-1.16587,1.53599,-0.861832
17,1,-1.04127,1.44369,-0.805611
18,1,-0.93158,1.36669,-0.749991
19,1,-0.833562,1.30185,-0.694873
20,1,-0.744817,1.2469,-0.640175
21,1,-0.663535,1.20012,-0.585831
22,1,-0.588318,1.16022,-0.531786
23,1,-0.518061,1.12623,-0.477992
24,1,-0.451873,1.09736,-0.42441
25,1,-0.389022,1.073,-0.371007
26,1,-0.328896,1.0527,-0.317751
27,1,-0.270972,1.03606,-0.264618
28,1,-0.214797,1.02281,-0.211582
29,1,-0.159966,1.01271,-0.158622
30,1,-0.106113,1.00561,-0.105717
31,1,-0.0528989,1.0014,-0.0528497
32,1,0,1,0
33,1,0.0528989,1.0014,0.0528497
34,1,0.106113,1.00561,0.105717
35,1,0.159966,1.01271,0.158622
36,1,0.214797,1.02281,0.211582
37,1,0.270972,1.03606,0.264618
38,1,0.328896,1.0527,0.317751
39,1,0.389022,1.073,0.371007
40,1,0.451873,1.09736,0.42441
41,1,0.518061,1.12623,0.477992
42,1,0.588318,1.16022,0.531786
43,1,0.663535,1.20012,0.585831
44,1,0.744817,1.2469,0.640175
45,1,0.833562,1.30185,0.694873
46,1,0.93158,1.36669,0.749991
47,1,1.04127,1.44369,0.805611
48,1,1.16587,1.53599,0.861832
49,1,1.30995,1.64802,0.918782
50,1,1.48012,1.78627,0.976621
51,1,1.68641,1.9606,1.03556
52,1,1.94482,2.18686,1.09587
53,1,2.28281,2.49223,1.15792
54,1,2.75177,2.92784,1.22223
55,1,3.46121,3.60277,1.28954
56,1,4.69458,4.79991,1.36092
57,1,7.48828,7.55476,1.43804
58,1,21.1573,21.1809,1.52357
59,1,-19.4851,19.5108,-1.51952
60,1,-5.78501,5.8708,-1.39963
61,1,-2.92591,3.09208,-1.24147
62,1,-1.58537,1.87441,-1.00806
63,1,-0.71308,1.2282,-0.61945
