k,real,imag,mag,phase
0,2.44089,0,2.44089,0
1,0.528717,-1.85204,1.92603,-1.29271
2,-1.4573,0.129272,1.46302,3.05312
3,0.412319,2.26197,2.29924,1.39049
4,2.50834,0.503052,2.55829,0.197926
5,0.651523,-1.55818,1.68891,-1.17476
6,-1.6,0.417169,1.65349,2.88654
7,0.275422,2.89124,2.90433,1.47582
8,2.74431,1.1287,2.96735,0.3902
9,0.813323,-1.32869,1.55785,-1.02151
10,-1.96383,0.820007,2.12816,2.74605
11,0.0712672,4.00152,4.00216,1.55299
12,3.30243,2.12799,3.92866,0.572407
13,1.09198,-1.12645,1.56886,-0.800934
14,-2.85419,1.57528,3.26005,2.63728
15,-0.351093,6.52717,6.5366,1.62453
16,4.8595,4.45497,6.59253,0.741995
17,1.845,-0.880449,2.04431,-0.445249
18,-6.16154,4.06571,7.38204,2.55832
19,-2.2171,18.194,18.3286,1.69206
20,17.2285,21.6298,27.6526,0.898184
21,31.8406,3.97471,32.0877,0.124189
22,24.1575,-17.8899,30.0605,-0.637427
23,4.12496,-21.9436,22.328,-1.38498
24,-5.87857,-10.0484,11.6416,-2.10013
25,-1.27678,-1.1828,1.74046,-2.39438
26,4.01372,-3.19334,5.12907,-0.672056
27,1.69856,-6.70499,6.91679,-1.32269
28,-1.84337,-4.38701,4.75856,-1.96858
29,-0.413739,-0.970921,1.0554,-1.97362
30,2.21135,-1.83115,2.8711,-0.691624
31,1.2429,-3.89811,4.09146,-1.26214
32,-0.818022,-2.88263,2.99645,-1.8473
33,-0.128254,-0.860273,0.869781,-1.71879
34,1.55109,-1.30543,2.02732,-0.69961
35,1.04547,-2.71293,2.9074,-1.20297
36,-0.359002,-2.16897,2.19848,-1.73483
37,0.0174566,-0.779477,0.779673,-1.5484
38,1.2148,-1.02038,1.58648,-0.698637
39,0.93284,-2.05625,2.25795,-1.1449
40,-0.103022,-1.74376,1.7468,-1.62981
41,0.107595,-0.713674,0.721739,-1.42116
42,1.01417,-0.838168,1.3157,-0.690665
43,0.858726,-1.6372,1.84874,-1.08773
44,0.0578926,-1.45668,1.45783,-1.53107
45,0.169867,-0.657317,0.678911,-1.3179
46,0.882674,-0.709655,1.13257,-0.677165
47,0.805468,-1.34527,1.56797,-1.0313
48,0.167028,-1.24685,1.25798,-1.43763
49,0.216097,-0.607637,0.644919,-1.22911
50,0.790913,-0.612878,1.00058,-0.659247
51,0.764832,-1.12927,1.36389,-0.975481
52,0.245041,-1.08479,1.11212,-1.34864
53,0.252204,-0.562987,0.616896,-1.14963
54,0.723951,-0.536497,0.901075,-0.63776
55,0.732446,-0.962229,1.20928,-0.920167
56,0.302997,-0.954452,1.00139,-1.2634
57,0.281492,-0.522279,0.593306,-1.07646
58,0.673424,-0.474046,0.823541,-0.613361
59,0.705766,-0.828596,1.08843,-0.86528
60,0.347332,-0.846314,0.914815,-1.18135
61,0.305955,-0.484735,0.573215,-1.00777
62,0.6343,-0.421549,0.761603,-0.586563
63,0.683204,-0.718758,0.991655,-0.810753
64,0.382033,-0.75434,0.845564,-1.102
65,0.326875,-0.449773,0.556006,-0.942338
66,0.603383,-0.376422,0.711171,-0.557774
67,0.663713,-0.626456,0.912667,-0.756529
68,0.40969,-0.67451,0.789183,-1.02496
69,0.345115,-0.41694,0.541242,-0.879372
70,0.578554,-0.336905,0.669499,-0.52732
71,0.646573,-0.547437,0.847198,-0.70256
72,0.432052,-0.604031,0.742645,-0.949888
73,0.361281,-0.385872,0.528603,-0.818299
