n,real,imag,mag,phase
0,1.00237,0,1.00237,0
1,-0.771634,-0.633264,0.99822,-2.45437
2,0.195145,0.981059,1.00028,1.37445
3,0.471947,-0.88295,1.00117,-1.07992
4,-0.92465,0.383003,1.00083,2.74889
5,0.901984,0.273614,0.942571,0.294524
6,-0.368966,-0.552196,0.664121,-2.15984
7,-0.0255702,0.259618,0.260874,1.66897
8,0.0235774,-0.0235774,0.0333435,-0.785398
9,0.00246167,-0.000242453,0.00247358,-0.0981748
10,-0.000360584,-0.000240934,0.000433671,-2.55254
11,-8.81246e-05,-0.000290508,0.00030358,-1.86532
12,-0.000123876,0.000299064,0.000323704,1.9635
13,-0.000645111,0.000344819,0.000731483,2.65072
14,-0.000723309,-0.000143875,0.00073748,-2.94524
15,-0.000266568,-0.000324814,0.000420193,-2.25802
16,-1.38595e-21,2.26351e-05,2.26351e-05,1.5708
17,-0.000243996,0.000297309,0.000384612,2.25802
18,-0.000520292,0.000103493,0.000530485,2.94524
19,-0.000382276,-0.000204331,0.000433458,-2.65072
20,-6.39808e-05,-0.000154463,0.00016719,-1.9635
21,-3.98664e-05,0.000131422,0.000137336,1.86532
22,-0.000291055,0.000194477,0.000350049,2.55254
23,-0.000390544,-3.84652e-05,0.000392434,-3.04342
24,-0.000185947,-0.000185947,0.000262969,-2.35619
25,-2.98589e-06,-3.03163e-05,3.0463e-05,-1.66897
26,-0.000110746,0.000165743,0.000199337,2.15984
27,-0.000314892,9.55215e-05,0.000329062,2.84707
28,-0.000285215,-0.00011814,0.000308714,-2.74889
29,-7.24075e-05,-0.000135465,0.000153602,-2.06167
30,-1.2638e-05,6.35354e-05,6.47802e-05,1.76715
31,-0.000193415,0.000158731,0.00025021,2.45437
32,-0.000322368,0,0.000322368,3.14159
33,-0.000193415,-0.000158731,0.00025021,-2.45437
34,-1.2638e-05,-6.35354e-05,6.47802e-05,-1.76715
35,-7.24075e-05,0.000135465,0.000153602,2.06167
36,-0.000285215,0.00011814,0.000308714,2.74889
37,-0.000314892,-9.55215e-05,0.000329062,-2.84707
38,-0.000110746,-0.000165743,0.000199337,-2.15984
39,-2.98589e-06,3.03163e-05,3.0463e-05,1.66897
40,-0.000185947,0.000185947,0.000262969,2.35619
41,-0.000390544,3.84652e-05,0.000392434,3.04342
42,-0.000291055,-0.000194477,0.000350049,-2.55254
43,-3.98664e-05,-0.000131422,0.000137336,-1.86532
44,-6.39808e-05,0.000154463,0.00016719,1.9635
45,-0.000382276,0.000204331,0.000433458,2.65072
46,-0.000520292,-0.000103493,0.000530485,-2.94524
47,-0.000243996,-0.000297309,0.000384612,-2.25802
48,1.38595e-21,-2.26351e-05,2.26351e-05,-1.5708
49,-0.000266568,0.000324814,0.000420193,2.25802
50,-0.000723309,0.000143875,0.00073748,2.94524
51,-0.000645111,-0.000344819,0.000731483,-2.65072
52,-0.000123876,-0.000299064,0.000323704,-1.9635
53,-8.81246e-05,0.000290508,0.00030358,1.86532
54,-0.000360584,0.000240934,0.000433671,2.55254
55,0.00246167,0.000242453,0.00247358,0.0981748
56,0.0235774,0.0235774,0.0333435,0.785398
57,-0.0255702,-0.259618,0.260874,-1.66897
58,-0.368966,0.552196,0.664121,2.15984
59,0.901984,-0.273614,0.942571,-0.294524
60,-0.92465,-0.383003,1.00083,-2.74889
61,0.471947,0.88295,1.00117,1.07992
62,0.195145,-0.981059,1.00028,-1.37445
63,-0.771634,0.633264,0.99822,2.45437
