n,value
0,0
1,0.713525
2,1.06331
3,0.963525
4,0.657164
5,0.5
6,0.657164
7,0.963525
8,1.06331
9,0.713525
10,3.06162e-16
11,-0.713525
12,-1.06331
13,-0.963525
14,-0.657164
15,-0.5
16,-0.657164
17,-0.963525
18,-1.06331
19,-0.713525
20,-6.12323e-16
21,0.713525
22,1.06331
23,0.963525
24,0.657164
25,0.5
26,0.657164
27,0.963525
28,1.06331
29,0.713525
30,9.18485e-16
31,-0.713525
32,-1.06331
33,-0.963525
34,-0.657164
35,-0.5
36,-0.657164
37,-0.963525
38,-1.06331
39,-0.713525
40,-1.22465e-15
41,0.713525
42,1.06331
43,0.963525
44,0.657164
45,0.5
46,0.657164
47,0.963525
48,1.06331
49,0.713525
50,3.30717e-15
51,-0.713525
52,-1.06331
53,-0.963525
54,-0.657164
55,-0.5
56,-0.657164
57,-0.963525
58,-1.06331
59,-0.713525
60,-1.83697e-15
61,0.713525
62,1.06331
63,0.963525
64,0.657164
65,0.5
66,0.657164
67,0.963525
68,1.06331
69,0.713525
70,3.66775e-16
71,-0.713525
72,-1.06331
73,-0.963525
74,-0.657164
75,-0.5
76,-0.657164
77,-0.963525
78,-1.06331
79,-0.713525
80,-2.44929e-15
81,0.713525
82,1.06331
83,0.963525
84,0.657164
85,0.5
86,0.657164
87,0.963525
88,1.06331
89,0.713525
90,4.53181e-15
91,-0.713525
92,-1.06331
93,-0.963525
94,-0.657164
95,-0.5
96,-0.657164
97,-0.963525
98,-1.06331
99,-0.713525
100,-6.61433e-15
101,0.713525
102,1.06331
103,0.963525
104,0.657164
105,0.5
106,0.657164
107,0.963525
108,1.06331
109,0.713525
110,5.14414e-15
111,-0.713525
112,-1.06331
113,-0.963525
114,-0.657164
115,-0.5
116,-0.657164
117,-0.963525
118,-1.06331
119,-0.713525
120,-3.67394e-15
121,0.713525
122,1.06331
123,0.963525
124,0.657164
125,0.5
126,0.657164
127,0.963525
