n,value
0,0
1,4.45031e-19
2,0.000465173
3,0.00158026
4,0.0030527
5,0.00413974
6,0.00392884
7,0.00180267
8,-0.00208525
9,-0.00656836
10,-0.0096753
11,-0.00934519
12,-0.00445047
13,0.00430374
14,0.0140976
15,0.0206416
16,0.0196818
17,0.00890399
18,-0.0104473
19,-0.0328546
20,-0.0490345
21,-0.0475898
22,-0.0174221
23,0.0496258
24,0.156412
25,0.298856
26,0.46536
27,0.637508
28,0.792114
29,0.904445
30,0.952142
31,0.91918
32,0.799089
33,0.596786
34,0.32863
35,0.0206416
36,-0.294851
37,-0.583578
38,-0.813987
39,-0.96138
40,-1.01085
41,-0.958603
42,-0.811622
43,-0.586079
44,-0.305019
45,0.00413974
46,0.312001
47,0.589462
48,0.810001
49,0.952035
50,1.00118
51,0.952035
52,0.809536
53,0.587882
54,0.308948
55,2.98223e-16
56,-0.308948
57,-0.587882
58,-0.809536
59,-0.952035
60,-1.00118
61,-0.952035
62,-0.809536
63,-0.587882
64,-0.308948
65,-5.90524e-16
66,0.308948
67,0.587882
68,0.809536
69,0.952035
70,1.00118
71,0.952035
72,0.809536
73,0.587882
74,0.308948
75,1.2701e-15
76,-0.308948
77,-0.587882
78,-0.809536
79,-0.952035
80,-1.00118
81,-0.952035
82,-0.809536
83,-0.587882
84,-0.308948
85,-6.56715e-16
86,0.308948
87,0.587882
88,0.809536
89,0.952035
90,1.00118
91,0.952035
92,0.809536
93,0.587882
94,0.308948
95,1.18515e-15
96,-0.308948
97,-0.587882
98,-0.809536
99,-0.952035
100,-1.00118
101,-0.952035
102,-0.809536
103,-0.587882
104,-0.308948
105,-1.0299e-15
106,0.308948
107,0.587882
108,0.809536
109,0.952035
110,1.00118
111,0.952035
112,0.809536
113,0.587882
114,0.308948
115,9.32644e-16
116,-0.308948
117,-0.587882
118,-0.809536
119,-0.952035
120,-1.00118
121,-0.952035
122,-0.809536
123,-0.587882
124,-0.308948
125,-2.39491e-15
126,0.308948
127,0.587882
128,0.809536
129,0.951341
130,0.999389
131,0.949504
132,0.807602
133,0.588592
134,0.314144
135,0.00999114
136,-0.2965
137,-0.57807
138,-0.80875
139,-0.965052
140,-1.02783
141,-0.985133
142,-0.835552
143,-0.591178
144,-0.278585
145,0.0632025
146,0.388181
147,0.65152
148,0.818565
149,0.872274
150,0.816833
151,0.676146
152,0.48745
153,0.29183
154,0.124433
155,0.00721838
156,-0.0538636
157,-0.0669563
158,-0.0488979
159,-0.0185664
160,0.00875711
161,0.0245025
162,0.0270543
163,0.0198192
164,0.00835657
165,-0.00221827
166,-0.00879849
167,-0.0106376
168,-0.00877779
169,-0.00506614
170,-0.00124605
171,0.00157448
172,0.00301935
173,0.00324077
174,0.00263193
175,0.00162628
176,0.000628157
177,6.00958e-19
