n,real,imag,mag,phase
0,0,0,0,0
1,1.61803,1.17557,2,0.628319
2,0,0,0,0
3,-0.618034,1.90211,2,1.88496
4,-1.61803,1.17557,2,2.51327
5,-0,-0,0,-3.14159
6,-0,-0,0,-3.14159
7,-0,-0,0,-3.14159
8,0.618034,-1.90211,2,-1.25664
9,0,-0,0,-0
10,2,1.28651e-15,2,6.43257e-16
11,1.61803,1.17557,2,0.628319
12,0,0,0,0
13,-0.618034,1.90211,2,1.88496
14,-0,0,0,3.14159
15,-2,7.34764e-16,2,3.14159
16,-0,-0,0,-3.14159
17,-0.618034,-1.90211,2,-1.88496
18,0.618034,-1.90211,2,-1.25664
19,0,-0,0,-0
20,2,2.57303e-15,2,1.28651e-15
21,0,0,0,0
22,0.618034,1.90211,2,1.25664
23,-0,0,0,3.14159
24,-1.61803,1.17557,2,2.51327
25,-2,1.22461e-15,2,3.14159
26,-0,-0,0,-3.14159
27,-0.618034,-1.90211,2,-1.88496
28,0.618034,-1.90211,2,-1.25664
29,0,-0,0,-0
30,0,-0,0,-0
31,1.61803,1.17557,2,0.628319
32,0.618034,1.90211,2,1.25664
33,-0.618034,1.90211,2,1.88496
34,-0,0,0,3.14159
35,-0,-0,0,-3.14159
36,-1.61803,-1.17557,2,-2.51327
37,-0,-0,0,-3.14159
38,0,-0,0,-0
39,1.61803,-1.17557,2,-0.628319
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,-0.618034,1.90211,2,1.88496
44,-1.61803,1.17557,2,2.51327
45,-0,-0,0,-3.14159
46,-0,-0,0,-3.14159
47,-0,-0,0,-3.14159
48,0,-0,0,-0
49,0,-0,0,-0
50,2,-2.44921e-15,2,-1.22461e-15
51,0,0,0,0
52,0.618034,1.90211,2,1.25664
53,-0,0,0,3.14159
54,-1.61803,1.17557,2,2.51327
55,-2,-4.41129e-15,2,-3.14159
56,-0,-0,0,-3.14159
57,-0,-0,0,-3.14159
58,0.618034,-1.90211,2,-1.25664
59,0,-0,0,-0
60,0,-0,0,-0
61,1.61803,1.17557,2,0.628319
62,0,0,0,0
63,-0,0,0,3.14159
