n,real,imag,mag,phase
0,1,-0.000628318,1,-0.000628319
1,0.809017,0.587785,1,0.628319
2,0.309614,0.950862,1,1.25601
3,-0.309017,0.951057,1,1.88496
4,-0.809386,0.587277,1,2.5139
5,-1,-3.21629e-16,1,-3.14159
6,-0.809386,-0.587277,1,-2.5139
7,-0.310212,-0.950667,1,-1.88621
8,0.308419,-0.95125,1,-1.25727
9,0.808278,-0.588801,1,-0.629575
10,1,-0.000628318,1,-0.000628319
11,0.809017,0.587785,1,0.628319
12,0.309614,0.950862,1,1.25601
13,-0.309017,0.951057,1,1.88496
14,-0.808648,0.588293,1,2.51265
15,-1,3.67382e-16,1,3.14159
16,-0.809386,-0.587277,1,-2.5139
17,-0.309017,-0.951057,1,-1.88496
18,0.309614,-0.950862,1,-1.25601
19,0.809017,-0.587785,1,-0.628319
20,1,0.000628318,1,0.000628319
21,0.809017,0.587785,1,0.628319
22,0.308419,0.95125,1,1.25727
23,-0.309017,0.951057,1,1.88496
24,-0.809386,0.587277,1,2.5139
25,-0.999999,-0.00125664,1,-3.14034
26,-0.808648,-0.588293,1,-2.51265
27,-0.307822,-0.951444,1,-1.8837
28,0.310809,-0.950472,1,-1.25475
29,0.809755,-0.586768,1,-0.627062
30,1,0.000628318,1,0.000628319
31,0.808278,0.588801,1,0.629575
32,0.307224,0.951637,1,1.25852
33,-0.311406,0.950277,1,1.88747
34,-0.810124,0.586259,1,2.51516
35,-0.999999,-0.00125664,1,-3.14034
36,-0.807908,-0.589309,1,-2.51139
37,-0.307822,-0.951444,1,-1.8837
38,0.309614,-0.950862,1,-1.25601
39,0.809755,-0.586768,1,-0.627062
40,1,0.000628318,1,0.000628319
41,0.809017,0.587785,1,0.628319
42,0.309614,0.950862,1,1.25601
43,-0.309017,0.951057,1,1.88496
44,-0.809386,0.587277,1,2.5139
45,-1,-2.45057e-15,1,-3.14159
46,-0.809386,-0.587277,1,-2.5139
47,-0.310212,-0.950667,1,-1.88621
48,0.307224,-0.951637,1,-1.25852
49,0.807537,-0.589817,1,-0.630832
50,0.999998,-0.00188495,1,-0.00188496
51,0.810492,0.58575,1,0.625805
52,0.310809,0.950472,1,1.25475
53,-0.306626,0.95183,1,1.88244
54,-0.807908,0.589309,1,2.51139
55,-0.999999,0.00125664,1,3.14034
56,-0.810124,-0.586259,1,-2.51516
57,-0.311406,-0.950277,1,-1.88747
58,0.307224,-0.951637,1,-1.25852
59,0.807537,-0.589817,1,-0.630832
60,0.999995,-0.00314159,1,-0.00314159
61,0.810492,0.58575,1,0.625805
62,0.312003,0.950081,1,1.2535
63,-0.305429,0.952215,1,1.88119
