n,real,imag,mag,phase
0,1,0,1,0
1,-0.809017,-0.587785,1,-2.51327
2,-0.309017,-0.951057,1,-1.88496
3,-0.309017,0.951057,1,1.88496
4,0.809017,-0.587785,1,-0.628319
5,1,-4.89843e-16,1,-4.89843e-16
6,0.809017,0.587785,1,0.628319
7,0.309017,0.951057,1,1.25664
8,0.309017,-0.951057,1,-1.25664
9,0.809017,-0.587785,1,-0.628319
10,-1,8.57224e-16,1,3.14159
11,0.809017,0.587785,1,0.628319
12,0.309017,0.951057,1,1.25664
13,0.309017,-0.951057,1,-1.25664
14,0.809017,-0.587785,1,-0.628319
15,-1,4.89978e-15,1,3.14159
16,-0.809017,-0.587785,1,-2.51327
17,0.309017,0.951057,1,1.25664
18,0.309017,-0.951057,1,-1.25664
19,0.809017,-0.587785,1,-0.628319
20,-1,5.38962e-15,1,3.14159
21,-0.809017,-0.587785,1,-2.51327
22,0.309017,0.951057,1,1.25664
23,-0.309017,0.951057,1,1.88496
24,0.809017,-0.587785,1,-0.628319
25,-1,-8.33139e-15,1,-3.14159
26,-0.809017,-0.587785,1,-2.51327
27,0.309017,0.951057,1,1.25664
28,0.309017,-0.951057,1,-1.25664
29,0.809017,-0.587785,1,-0.628319
30,1,1.86221e-14,1,1.86221e-14
31,-0.809017,-0.587785,1,-2.51327
32,0.309017,0.951057,1,1.25664
33,0.309017,-0.951057,1,-1.25664
34,0.809017,-0.587785,1,-0.628319
35,1,3.23432e-14,1,3.23432e-14
36,-0.809017,-0.587785,1,-2.51327
37,-0.309017,-0.951057,1,-1.88496
38,0.309017,-0.951057,1,-1.25664
39,-0.809017,0.587785,1,2.51327
40,-1,-2.84231e-14,1,-3.14159
41,-0.809017,-0.587785,1,-2.51327
42,-0.309017,-0.951057,1,-1.88496
43,-0.309017,0.951057,1,1.88496
44,0.809017,-0.587785,1,-0.628319
45,1,3.87138e-14,1,3.87138e-14
46,0.809017,0.587785,1,0.628319
47,0.309017,0.951057,1,1.25664
48,-0.309017,0.951057,1,1.88496
49,-0.809017,0.587785,1,2.51327
50,1,3.13635e-14,1,3.13635e-14
51,0.809017,0.587785,1,0.628319
52,-0.309017,-0.951057,1,-1.88496
53,0.309017,-0.951057,1,-1.25664
54,-0.809017,0.587785,1,2.51327
55,1,4.50845e-14,1,4.50845e-14
56,0.809017,0.587785,1,0.628319
57,0.309017,0.951057,1,1.25664
58,0.309017,-0.951057,1,-1.25664
59,0.809017,-0.587785,1,-0.628319
60,1,5.1945e-14,1,5.1945e-14
61,-0.809017,-0.587785,1,-2.51327
62,-0.309017,-0.951057,1,-1.88496
63,0.309017,-0.951057,1,-1.25664
