n,real,imag,mag,phase
0,-0.221232,1.3968,1.41421,1.72788
1,-1,1,1.41421,2.35619
2,1.3968,-0.221232,1.41421,-0.15708
3,0.64204,-1.26007,1.41421,-1.09956
4,0.64204,1.26007,1.41421,1.09956
5,-1.3968,-0.221232,1.41421,-2.98451
6,1,-1,1.41421,-0.785398
7,1.3968,-0.221232,1.41421,-0.15708
8,1.26007,0.64204,1.41421,0.471239
9,-0.64204,-1.26007,1.41421,-2.04204
10,0.221232,-1.3968,1.41421,-1.41372
11,1,-1,1.41421,-0.785398
12,0.221232,1.3968,1.41421,1.41372
13,-1.26007,-0.64204,1.41421,-2.67035
14,0.64204,1.26007,1.41421,1.09956
15,0.221232,-1.3968,1.41421,-1.41372
16,-1,-1,1.41421,-2.35619
17,0.221232,1.3968,1.41421,1.41372
18,-1.26007,-0.64204,1.41421,-2.67035
19,0.64204,1.26007,1.41421,1.09956
20,-1.3968,-0.221232,1.41421,-2.98451
21,-1,1,1.41421,2.35619
22,1.3968,-0.221232,1.41421,-0.15708
23,0.64204,-1.26007,1.41421,-1.09956
24,1.26007,-0.64204,1.41421,-0.471239
25,-0.221232,1.3968,1.41421,1.72788
26,-1,1,1.41421,2.35619
27,-0.221232,-1.3968,1.41421,-1.72788
28,-0.64204,1.26007,1.41421,2.04204
29,-0.64204,-1.26007,1.41421,-2.04204
30,-0.221232,1.3968,1.41421,1.72788
31,-1,-1,1.41421,-2.35619
