n,value
0,0.745672
1,0.0545871
2,-0.0695176
3,-0.0208989
4,-0.092395
5,-0.0879807
6,0.0921316
7,0.0820532
8,-0.0319374
9,0.0441018
10,-0.03564
11,0.0742561
12,-0.012862
13,-0.0394583
14,-0.0170284
15,0.00626592
16,-0.0341382
17,0.0847208
18,-0.0305234
19,-0.0264601
20,0.051072
21,0.0451334
22,-0.0190576
23,0.03337
24,-0.0522393
25,-0.0611247
26,0.00996214
27,0.0297694
28,0.0744052
29,-0.016253
30,-0.0283738
31,-0.0166507
32,-0.0803637
33,-0.0607793
34,0.0414316
35,0.0196552
36,0.0400362
37,0.000903504
38,-0.0165192
39,0.0111906
40,0.00250574
41,-0.0288684
42,0.0284525
43,-0.0426273
44,0.0105218
45,0.0356546
46,0.0742067
47,0.0244873
48,-0.0248713
49,0.0369957
50,0.000893531
51,0.0761936
52,-0.0242643
53,0.0253952
54,-0.0565777
55,-0.0191039
56,0.0853306
57,0.0884785
58,0.0312368
59,-0.0634994
60,-0.0915652
61,-0.0481088
62,-0.00145703
63,0.0138408
64,0.0069599
65,0.053591
66,-0.000396269
67,-0.0113813
68,0.0023337
69,0.00770857
70,-0.00362403
71,-0.0351757
72,0.0478046
73,0.00211604
74,0.0144728
75,0.00938904
76,0.0394505
77,-0.0509314
78,0.000903997
79,-0.0486065
80,-0.0515676
81,-0.0176223
82,0.0354245
83,0.0389828
84,-0.00124084
85,0.0481391
86,-0.00293147
87,-0.0336435
88,-0.0209924
89,0.00912911
90,-0.0262828
91,0.0551424
92,0.0635276
93,0.0257786
94,-0.0600874
95,0.0177762
96,0.0380941
97,0.0226957
98,0.00815855
99,-0.013665
100,-0.00312203
101,-0.054086
102,0.0343349
103,0.0206197
104,0.00688478
105,-0.0439262
106,-0.0175859
107,-0.00380028
108,-0.0222095
109,0.0297902
110,-0.0126497
111,-0.0239238
112,-0.0278979
113,0.00411841
114,0.0271299
115,-0.0073658
116,-0.00674768
117,-0.0137467
118,-0.024069
119,-0.00972547
120,-0.00552637
121,-0.0067988
122,-0.0156993
123,-0.000149261
124,-0.00498874
125,-0.00918245
126,-0.0187476
127,-0.0222155
