n,value
0,-0.00289137
1,-0.00778956
2,0.00106774
3,-0.00146035
4,0.0036024
5,-0.00347476
6,-0.0034501
7,-0.00281717
8,0.000131061
9,-0.00590386
10,0.000473333
11,0.00150782
12,-0.00109256
13,-0.0129829
14,0.0147603
15,-0.00950613
16,0.00624237
17,-0.0127596
18,0.00859796
19,0.00152152
20,-0.0143828
21,0.0104971
22,-0.00428284
23,0.00107321
24,-0.00663985
25,-0.000277023
26,0.00424662
27,-0.00824739
28,0.0179803
29,-0.0215667
30,0.0201953
31,-0.0183601
32,0.0199615
33,-0.0304869
34,0.0338413
35,-0.0226332
36,0.0298716
37,-0.0268934
38,0.0260508
39,-0.0290072
40,0.0189472
41,-0.0168723
42,0.0211029
43,-0.0138713
44,0.0177392
45,-0.00235491
46,-0.0103677
47,0.00227451
48,-0.0107624
49,0.000153337
50,0.00406006
51,-0.00164449
52,0.00024296
53,-0.000841402
54,-0.00360815
55,0.00898456
56,-0.00290972
57,0.00214853
58,-0.00310385
59,0.00122602
60,-0.0093488
61,0.0197178
62,-0.0169836
63,0.0129487
64,-0.0150016
65,0.0196835
66,-0.0293354
67,0.0208833
68,-0.0224749
69,0.00535003
70,0.00314575
71,-0.0100186
72,0.0117727
73,-0.00632218
74,-0.00313254
75,-0.000417581
76,0.00808846
77,-0.0132875
78,0.0136217
79,0.00177375
80,-0.00141411
81,-0.00231809
82,0.000396808
83,-0.00791908
84,0.00356039
85,0.00253485
86,-0.00135531
87,0.00767998
88,-0.00137142
89,0.00504932
90,-0.0047779
91,0.0118076
92,-0.0167141
93,0.0129401
94,-0.0181171
95,0.0109355
96,-0.0106177
97,0.0104238
98,-0.0169035
99,0.00867348
100,0.00435797
101,0.00246276
102,-0.00237842
103,-0.00672363
104,-0.000279198
105,-0.016425
106,0.0201711
107,-0.00782925
108,0.0102462
109,-0.0131704
110,0.0158958
111,-0.0146344
112,0.0185108
113,-0.0130792
114,0.0199669
115,-0.026522
116,0.0139812
117,-0.0115537
118,0.0140836
119,-0.00623167
120,-0.000420929
121,0.000143657
122,-0.00773932
123,0.0105244
124,-0.0123782
125,0.0166878
126,-0.0127628
127,0.0162494
