n,value
0,0.110536
1,0.995405
2,0.429044
3,0.716355
4,0.295354
5,0.846881
6,0.414824
7,0.363447
8,0.165552
9,0.442394
10,0.181462
11,0.342113
12,0.146711
13,0.242362
14,0.0161463
15,0.692185
16,0.397035
17,0.827926
18,0.662173
19,0.744
20,0.185059
21,0.36396
22,0.0140618
23,0.356604
24,0.239144
25,0.888262
26,0.36136
27,0.671131
28,0.656832
29,0.451642
30,0.324237
31,0.46951
32,0.800276
33,0.122741
34,0.199893
35,0.49996
36,0.0392368
37,0.212752
38,0.781156
39,0.860507
40,0.348233
41,0.176606
42,0.633102
43,0.924968
44,0.749204
45,0.191541
46,0.247741
47,0.641019
48,0.414338
49,0.625865
50,0.180282
51,0.0581561
52,0.795018
53,0.949443
54,0.322849
55,0.587433
56,0.877838
57,0.14323
58,0.075336
59,0.595758
60,0.599648
61,0.30659
62,0.514472
63,0.205254
64,0.625895
65,0.837548
66,0.118744
67,0.903913
68,0.505172
69,0.421141
70,0.197221
71,0.670621
72,0.404751
73,0.459761
74,0.386515
75,0.673805
76,0.311149
77,0.882186
78,0.786597
79,0.932397
80,0.0230258
81,0.0403994
82,0.878519
83,0.22802
84,0.554225
85,0.559766
86,0.749529
87,0.350011
88,0.377368
89,0.516521
90,0.144852
91,0.156978
92,0.946599
93,0.958292
94,0.886205
95,0.551937
96,0.303131
97,0.7062
98,0.948545
99,0.957994
100,0.394258
101,0.932146
102,0.185536
103,0.538932
104,0.867718
105,0.480697
106,0.656932
107,0.300737
108,0.481108
109,0.790233
110,0.546269
111,0.0601504
112,0.823194
113,0.38235
114,0.672746
115,0.768903
116,0.134629
117,0.599649
118,0.796425
119,0.755162
120,0.939725
121,0.86223
122,0.0904023
123,0.924971
124,0.496354
125,0.663876
126,0.241211
127,0.539246
