n,col0,col1,col2,col3,col4,col5,col6,col7
0,4.98956,-0.485813,-0.878301,0.443647,0.0343505,-0.477459,0.69797,-0.189131
1,-1.55085,0.0931372,-0.402186,-0.748625,0.239655,0.0833653,0.981682,0.222951
2,0.648755,0.316801,-0.786139,-0.799554,1.01512,-0.817859,-0.259129,-1.02634
3,0.177062,0.0991279,0.309477,-0.0151135,1.43917,0.155813,0.231131,-1.0503
4,3.43565,0.426893,0.183684,-0.362811,0.315544,-0.52046,0.00300676,-0.518695
5,1.24457,0.175537,-0.0515187,-0.212452,0.466308,0.579196,-0.0904533,0.482463
6,-1.41784,-0.128919,0.494691,0.622975,-0.690783,-0.371839,0.0969086,-0.154292
7,-2.89258,0.189216,-0.00850886,0.19706,0.0423178,-0.174609,-0.173677,-0.957283
8,-7.64492,0.805483,-0.133347,0.876538,-0.142261,-0.933273,0.493209,-0.660435
9,-0.429927,-0.678223,-1.14907,0.117623,-0.528717,0.697976,-0.568009,1.05805
10,1.97515,-0.345646,-0.319083,-1.61663,-1.40608,-0.956159,-0.152323,0.772796
11,-1.12258,-0.0361406,-0.697788,-1.54222,-0.18151,-0.204819,0.0778385,-0.820332
12,-1.68297,0.0245784,0.999418,0.10582,0.0887878,0.939135,-0.400729,-0.3686
13,1.0427,-0.0624313,1.04359,0.354879,-0.782194,0.366317,0.829269,1.07211
14,-4.24153,-0.0673915,0.439184,-0.303171,0.0445501,0.286419,0.167155,0.235983
15,-1.27037,-0.607328,-0.312622,-0.250853,1.02124,0.780479,0.684247,-0.176252
16,-1.90591,-0.57329,-0.855705,-0.646805,0.0449016,0.199464,-0.0295432,-0.327145
17,1.8461,-1.07556,0.0589136,-1.04318,1.47598,-0.877072,-0.807292,-0.589762
18,-4.41042,0.0826323,0.0745755,-0.966399,-0.229665,0.167339,-0.326861,0.538817
19,2.54181,-0.163745,0.404332,-0.00658421,0.201595,-0.410085,0.165628,-0.112464
20,0.372325,-0.778102,-0.194045,0.0309427,-0.828125,0.602067,0.027931,-1.00673
21,-1.11871,0.649928,-0.248135,-0.026127,-0.31262,0.149009,0.481934,0.578479
22,0.811882,-0.245829,1.19967,-0.58923,0.510927,0.411652,-1.62917,0.141618
23,-1.93819,0.155318,0.450132,0.0270839,-0.413777,1.10885,-0.24481,-0.634552
24,2.06933,0.285362,0.678084,1.21053,-0.32599,0.602727,-0.549342,-0.384936
25,3.41319,-0.426965,-0.14505,0.147264,-0.652488,-0.980492,-0.0116598,0.222839
26,1.16216,-0.303096,-0.0476928,1.13089,0.563584,-0.636088,-0.758873,-0.879318
27,4.18246,0.108092,-0.301991,-0.56577,-0.288434,-0.267555,0.295755,-0.399246
28,3.28876,0.780727,-0.42199,1.4173,-0.583972,1.10804,0.255994,-0.487164
29,-0.175604,-0.240095,0.571875,0.470962,0.038784,-0.564869,0.304548,-0.105032
30,4.37665,-0.701785,-0.00390659,0.339422,-0.149248,0.246166,-0.755771,-0.676222
31,2.37859,0.624268,0.317412,-0.40487,-0.0963282,0.135235,0.109757,-0.36209
32,0.789528,0.481206,0.351603,0.294064,0.233736,0.270537,0.118169,0.594088
33,3.46406,-0.138643,0.69628,0.117332,0.213505,-0.453044,-1.01588,0.669406
34,2.69971,-0.575982,-0.0390156,0.27499,0.356885,-0.282062,-1.32267,-0.116623
35,0.685199,-0.312487,-0.0808518,0.755088,0.498575,0.651156,-0.772388,-0.920449
36,2.73909,0.426671,0.77925,-0.545202,0.438325,0.0685254,0.799267,-0.276102
37,-0.728607,-0.62255,-0.146677,-1.15786,-0.272668,0.250865,0.582493,-0.0895886
38,-3.76275,0.189711,0.688364,-0.816801,-0.159295,-0.885757,0.854681,-0.73565
39,1.37632,0.556063,0.848295,0.160247,-0.693476,-0.140383,0.262835,-0.713278
40,-0.891788,-0.0137924,0.567879,0.226929,-0.211047,-0.466182,1.25067,-0.0914463
41,2.34183,-0.918957,-0.694445,0.464333,0.0552041,-0.406023,0.665443,0.557187
42,-1.20595,0.593138,-0.279023,0.829808,0.175815,-0.475706,0.186703,-0.393982
43,-3.35261,-0.530611,-0.0561264,0.195017,-0.72901,0.917033,0.230172,0.39124
44,-1.66169,0.720411,-0.187729,-0.143273,-0.337629,-0.180627,0.344057,0.7814
45,-2.53691,0.131927,1.32282,-0.836259,0.301802,0.444211,-0.00603728,0.584331
46,-1.48522,-0.722899,-0.333955,1.63414,0.612146,-0.48421,-0.722383,-0.237884
47,3.54956,0.0682571,0.864436,0.432643,0.572546,-0.0379116,0.648981,-0.00784171
48,4.2882,0.177054,1.22995,-0.581566,0.496451,0.216265,0.00726032,0.0905246
49,3.09116,-0.329138,0.349541,0.940319,-0.214862,-0.559519,0.0275393,-0.123704
50,-2.9091,-0.624081,-0.228709,0.913244,0.893254,0.198011,-0.322476,0.328973
51,3.77724,0.133227,0.971021,-0.0862018,0.600211,0.987396,0.0387727,1.2522
52,-3.59348,-0.454631,-0.457554,0.724725,-0.106526,0.489962,-0.428217,0.818156
53,5.2069,0.899636,0.297622,0.277213,0.688946,1.2032,0.0136157,-0.300603
54,1.56973,-0.308273,-0.304497,1.27554,0.860878,0.290346,0.158529,-0.463905
55,0.0203369,-0.638653,-0.978581,-0.472457,0.440416,0.589889,-0.124439,0.906142
56,4.36788,0.0409602,0.0616204,-0.325223,0.502801,0.0718364,-0.286588,0.947454
57,0.0919603,0.0524478,0.630009,0.211576,0.186803,0.255782,0.0642216,0.931615
58,-2.89792,0.411295,0.335834,-0.227314,-0.205694,1.05329,0.985723,0.148034
59,-2.05101,0.616681,0.185067,-1.08172,0.141082,1.54553,-0.784517,1.20829
60,-0.987836,1.33135,0.0457205,0.676209,-0.508751,0.429334,0.548295,-0.125816
61,-2.03911,-0.226119,0.106657,1.42792,-0.483128,-0.0890827,0.282437,-0.903389
62,2.74043,0.379776,0.615679,-0.580945,0.409869,-0.708399,0.543927,-0.60489
63,-0.561896,0.314288,0.452812,1.06822,-0.456167,-0.15154,-0.691088,0.248259
64,-2.5209,-0.194842,-0.0506549,-0.454436,0.124843,-0.181849,0.370865,-0.331189
65,-4.90146,-0.38916,-0.701251,-0.0256366,-0.701502,-0.29498,0.00397248,0.460104
66,-3.30367,0.598862,-0.651836,0.353319,0.379147,0.556851,-0.139385,-0.632891
67,-2.47508,0.434873,-0.57707,-0.0828025,0.569584,0.242096,-1.25906,0.242582
68,-1.67058,-0.320075,-0.657812,0.34245,-0.484835,-1.5627,0.983483,-0.865069
69,-1.35541,-0.127319,-0.812608,-0.464835,1.32454,0.476837,1.17007,-0.713087
70,-3.86559,0.268066,-0.461123,0.655573,-0.195868,0.738592,-1.61208,0.346539
71,1.26835,0.401367,0.389008,0.763908,0.931184,0.108083,-0.792462,-0.463006
72,-2.39218,-0.596749,-0.445396,0.488115,-0.528606,-1.00939,-0.0705654,-0.994245
73,2.02571,1.02164,-0.809731,0.0223068,0.213121,0.0890786,-0.716876,0.772702
74,0.75122,-0.129494,0.406366,0.308631,-0.714077,0.405931,-0.0782712,0.193548
75,-0.55345,-0.201725,-0.663266,-0.57772,-0.153473,-0.697817,0.472299,0.199128
76,0.236314,0.460523,-0.42743,0.815359,0.553905,-0.506411,-0.386511,-0.334933
77,-0.420094,1.2526,-0.409969,-0.637695,-0.471603,-0.989826,0.769951,-0.269004
78,0.799839,0.0730001,0.15382,0.935794,0.21456,-1.14927,0.2371,0.811511
79,1.7156,-0.449092,-0.900519,-0.818748,0.512554,0.075897,0.104926,-0.11158
80,2.33071,-0.358218,1.16046,-0.328316,0.0893238,0.577634,0.585007,-0.205947
81,-0.918245,0.0135762,0.176652,0.0400424,0.496439,1.12651,0.704994,-0.169343
82,4.81188,0.0527442,0.124069,-0.597103,-0.597686,-0.823937,-0.593037,-0.742072
83,-4.88711,1.34398,-0.2833,0.760955,-0.0241413,0.632233,0.559264,-0.150142
84,3.73125,0.112061,0.0960917,-0.244832,2.58474,0.586024,0.475753,-0.668905
85,0.601141,-0.0462527,1.01826,0.294103,0.00998241,-0.661811,-0.630295,-1.28055
86,0.913436,-0.144795,0.283831,0.0297964,0.833794,-0.391322,0.398129,-1.00178
87,-2.74237,-0.373682,0.503677,1.01389,-0.316827,-0.0944744,-0.136052,1.0292
88,-1.14408,-0.182242,-0.155544,-0.503007,-0.0807707,-0.619006,-0.402791,-0.308658
89,0.0307541,0.13692,-0.926935,-0.313415,0.578372,-0.199009,1.60067,-0.0955618
90,0.571852,0.337786,-0.165297,0.480213,0.647086,-0.431552,0.903109,-0.969994
91,3.24956,-0.627991,-0.363118,-0.0446356,0.308523,-1.47534,0.115776,-0.681846
92,3.34811,0.787463,-0.642922,-0.38998,-0.449706,-0.130492,-0.0435462,-1.01825
93,-2.93765,0.376059,0.426271,-0.0153575,0.804278,-0.11155,-0.34312,-0.108121
94,2.50867,-0.0668785,-0.159543,-0.162736,-0.298065,0.0475787,0.585246,-0.970941
95,2.84164,-1.30353,0.667882,0.414869,0.209383,0.584191,1.27436,-1.02751
96,-4.18558,-0.105235,0.736728,0.730601,1.27029,0.570459,-0.665504,-0.0219419
97,-0.0199643,-1.49712,0.0570308,0.638397,0.671877,0.59518,1.16356,0.499664
98,3.27191,-0.250611,-0.228224,0.962725,-0.584143,0.389784,-0.59235,-0.385192
99,-0.342406,-0.407672,0.0574664,0.286579,0.998915,0.0457806,0.140835,-0.21409
100,-3.71008,-0.508891,-0.582812,0.320154,-0.211437,-0.486217,-0.463329,1.09742
101,0.0116277,0.827195,0.241594,0.569492,0.863973,-0.837402,0.377262,1.1601
102,0.266939,-0.646413,-0.682419,0.0836985,0.69042,-0.0294697,0.132025,-0.31561
103,-2.0891,-0.0663349,0.0694166,-0.164848,0.356746,0.375754,-0.0613811,0.554556
104,0.921037,-0.502664,0.438338,0.137473,-0.684054,0.986836,0.773797,-0.302456
105,0.457345,-0.288847,-0.40456,-0.335002,-0.356235,0.735014,-0.794285,0.330808
106,-0.378694,-1.00916,0.0703192,-0.386721,0.334982,-0.343445,-0.14236,0.361275
107,1.03018,0.815444,0.131117,-0.0225962,-0.455459,-0.219059,1.09083,-0.509443
108,-0.70618,-0.428421,-0.494313,-0.175041,0.801484,0.909159,-0.0712685,-0.670082
109,-1.72531,-0.162342,0.689822,-0.748675,0.34624,0.662332,-0.443422,0.400379
110,2.73826,1.25711,-0.897591,-0.387223,-1.10248,-0.0795534,0.274313,-0.0685104
111,-2.58903,-0.369138,0.0364253,0.47619,-0.188777,0.538662,1.15637,0.245482
112,-5.34961,-0.841558,0.257475,0.309884,-0.356161,-0.520103,0.197563,-0.211728
113,-2.54099,-0.512239,-0.733432,0.322836,0.278782,0.573693,-1.3512,0.415107
114,-0.45973,-0.00896804,0.323029,0.921442,-1.2258,-0.261816,0.803039,0.251331
115,1.6654,-0.0479263,0.668971,0.296219,0.237659,0.0743029,1.14085,0.289923
116,-0.56178,-0.0646538,0.220537,-1.58459,-0.681919,-0.955582,0.700002,-0.809444
117,-1.34225,-0.763355,0.284823,0.489681,-0.535238,0.840546,-0.0741866,-0.240514
118,1.35067,0.74382,-1.30219,0.126612,0.945274,0.193807,0.173713,1.10026
119,-1.78889,1.04301,0.616941,0.543023,0.0049965,-0.15072,-0.868805,-0.0731188
120,-1.39416,-0.107577,-0.78639,0.191606,0.286573,-0.0578257,-0.445221,0.391058
121,-1.86314,0.829696,-0.371271,0.125439,-0.404337,0.340948,1.07431,-0.162988
122,2.75976,0.378219,-1.61219,0.240389,0.240099,0.0455815,0.0596367,-0.576209
123,-0.145609,-0.302562,-0.348001,0.0164223,-0.368142,0.902863,0.141462,-0.649206
124,-0.717787,-0.0149515,0.431857,-0.108591,-0.579747,0.37349,-0.735474,1.01268
125,-1.78391,-0.612699,0.0316417,1.03632,0.0056204,0.333332,-0.559223,-0.42217
126,0.581946,-0.142394,-0.129348,-1.24997,-1.31634,0.350587,0.563205,-0.304554
127,0.443915,0.537678,0.467211,-0.260576,0.12926,0.620131,0.473523,-0.456208
