n,col0,col1,col2,col3,col4,col5,col6,col7
0,0.141877,-0.605433,0.967558,-0.383218,-0.0953701,0.549278,-0.538673,4.97809
1,0.24101,-0.132021,0.541747,0.451468,0.514645,-0.638448,-0.783646,-1.5344
2,-0.0918777,0.769309,-0.0309733,-0.211886,1.5214,0.676148,-0.806475,0.728051
3,-0.0222558,0.274013,-0.216877,1.21725,0.934627,0.914677,-0.0975301,0.255389
4,0.116813,0.53471,-0.323312,0.0677086,0.262101,0.175265,-0.422658,3.4791
5,0.0778727,0.125167,0.344099,0.308357,0.321441,-0.471431,0.591451,1.22916
6,0.0798253,-0.212514,-0.448162,-0.148315,-0.904428,0.37579,-0.214379,-1.42436
7,-0.449804,0.377177,-0.355885,0.151637,0.113725,0.775793,-0.393244,-2.85603
8,0.392617,0.790234,-0.0123026,0.141102,-0.507165,1.16046,-1.05911,-7.61092
9,-0.418832,-0.677524,1.00996,-1.04067,0.051765,-0.613229,0.893055,-0.523526
10,0.0996354,-0.324614,-0.469777,-1.64037,0.0788434,-1.59155,-0.923188,1.95687
11,-0.803065,0.176982,-0.199498,-0.302873,1.11768,-0.47859,-1.2027,-1.07155
12,-0.567011,0.053016,-0.774328,0.876884,-0.184211,-0.0143034,0.711589,-1.67213
13,0.623992,-0.628254,-0.0788182,0.485868,-1.39159,-0.940512,0.230595,0.994299
14,0.119165,-0.133162,-0.354638,0.463303,0.127395,-0.391382,-0.0020982,-4.23153
15,-0.1278,-0.679447,0.575022,1.00958,0.951503,0.072845,0.0177918,-1.24732
16,-0.623301,-0.411129,0.299143,-0.286076,0.885878,-0.0928009,-0.373897,-1.89721
17,0.326285,-0.402737,-0.982073,-0.306906,2.03944,0.603763,0.00280062,1.93721
18,-0.0286872,0.155121,-0.409814,-0.201633,0.482298,-0.97495,-0.000423038,-4.41128
19,0.363344,-0.160833,-0.321488,0.0985832,-0.0253898,0.173243,-0.148252,2.56446
20,-1.36974,-0.764762,-0.129079,-0.0410185,-0.274217,0.249045,-0.30667,0.366858
21,0.243653,0.370723,0.588171,0.0769832,-0.401354,-0.59736,-0.198441,-1.14762
22,-0.171569,0.209868,-1.51448,0.00964118,0.644037,-0.33178,1.42335,0.832291
23,-1.11844,0.12137,-0.380016,0.659886,-0.336442,-0.113156,0.324804,-1.94176
24,-0.512664,0.251827,-0.257682,0.308473,-1.12027,0.649772,0.939738,2.03964
25,0.38384,-0.416606,-0.0902809,-1.03346,-0.471174,0.091078,-0.378306,3.39725
26,-0.0111875,0.0967509,-0.279575,-0.329848,0.0608663,1.74418,0.38074,1.18646
27,-0.291692,0.0737754,0.113828,-0.238158,0.0842512,-0.254144,-0.687198,4.19684
28,-0.980775,0.439273,1.14629,0.457769,-1.38509,0.520478,0.463852,3.22506
29,0.54461,-0.28796,-0.413032,0.156873,-0.396139,0.50535,-0.224215,-0.156168
30,-0.821942,-0.453999,-0.286806,-0.383333,-0.0432908,0.598875,0.558841,4.36925
31,-0.260333,0.55945,-0.226863,0.349863,-0.115204,-0.315128,-0.254277,2.39811
32,0.473585,0.300183,0.206201,0.396116,-0.352561,-0.277189,0.502165,0.769817
33,0.652931,0.0897617,-0.726495,-0.593145,-0.0603359,-0.0668527,1.00234,3.45277
34,-0.119974,-0.108148,-0.460209,-0.812639,0.440048,0.654606,0.935496,2.69661
35,-0.870449,-0.0211834,-0.0507458,0.267825,0.215461,1.10772,0.823376,0.690206
36,0.29089,0.213268,-0.322737,1.05633,0.0683468,-0.369858,-0.48812,2.78769
37,-0.390331,-0.714832,-0.097398,0.140542,0.566449,-0.839818,-0.736501,-0.709951
38,0.309386,0.142882,-0.981437,0.499421,0.162311,-0.0429756,-1.58923,-3.6789
39,-0.302008,0.408898,-0.693121,0.380451,-0.950448,0.105943,-0.523326,1.39829
40,0.617698,-0.369734,-0.110086,0.632861,-0.651387,0.0884675,-0.942852,-0.867103
41,0.585376,-1.0831,0.895411,-0.457249,-0.0688937,0.224033,-0.168348,2.31037
42,0.244995,0.590596,0.360631,0.0498825,-0.339869,0.915251,-0.30338,-1.19718
43,-0.527743,-0.767885,0.279399,0.134701,-0.514592,-0.500279,0.282487,-3.40322
44,0.519343,0.493829,0.412713,-0.170118,-0.351707,-0.683523,-0.243916,-1.6877
45,0.438701,0.0493072,-1.01293,0.865473,0.23226,-1.02925,0.378468,-2.51115
46,0.303922,-0.388625,0.174761,-0.487232,-0.0343361,1.81756,0.800397,-1.49712
47,0.657036,-0.152632,-0.139408,0.91581,-0.376374,0.255224,0.101636,3.57193
48,0.330314,0.125203,-0.82645,0.786644,0.111116,-0.563303,0.361734,4.32266
49,0.347854,-0.360778,-0.158654,-0.260728,-0.784203,0.758292,0.0999002,3.08236
50,0.400958,-0.473697,0.375859,0.127512,0.383024,0.849781,0.909153,-2.92402
51,0.637051,-0.148709,0.0331224,0.8715,-0.176687,-1.05358,1.34029,3.74355
52,0.0400497,-0.454733,0.56467,-0.396574,-0.180965,0.0604004,0.928084,-3.65736
53,-0.468957,0.743838,0.462085,1.16029,-0.139753,-0.0510112,0.827758,5.20184
54,0.00266006,-0.291866,0.708163,0.527567,-0.0261013,1.32174,0.526343,1.56679
55,0.00499647,-0.611817,0.931264,-0.349566,0.909384,-0.658531,0.585453,-0.0211835
56,0.604485,0.0353588,0.213087,-0.177046,0.323604,-0.65477,0.749696,4.34609
57,0.686595,-0.130632,-0.0573356,0.33065,-0.340793,-0.477645,0.689464,0.067043
58,-0.265255,-0.0334028,0.320952,1.19274,-0.38299,-0.794054,-0.235539,-2.90638
59,-0.363136,0.580674,0.0407078,0.341568,0.544482,-1.80878,1.31284,-2.09671
60,-0.195608,0.964431,0.557954,0.591834,-1.12469,-0.026865,-0.214655,-1.0127
61,-0.394413,-0.300704,0.0188329,0.197255,-1.03096,1.34663,-0.247094,-2.04306
62,0.421733,0.373125,-0.609011,0.513802,0.253944,0.077751,-0.880061,2.81164
63,0.163767,0.352149,-0.300599,-0.389741,-1.00402,0.475297,0.738562,-0.598672
64,-0.0247657,-0.167118,-0.1781,0.216059,0.446811,0.00995331,-0.639298,-2.48646
65,0.00426244,-0.38918,0.300643,-0.836349,-0.0657916,-0.200857,-0.353174,-4.93439
66,-0.643827,0.69234,0.569603,0.397503,0.301577,0.584576,0.0627654,-3.29901
67,-0.194467,0.829697,0.136668,-0.486675,0.810881,0.105565,0.916408,-2.48835
68,0.319005,-0.34122,0.172904,-0.584925,-0.242329,1.06194,-1.84459,-1.62996
69,-0.15349,-0.206195,0.960971,1.21433,1.31397,0.344457,-0.768604,-1.29961
70,-0.683549,0.590322,0.13728,-0.703545,-0.0590888,0.215133,1.46681,-3.92797
71,0.0425486,0.675004,-0.275273,0.390422,0.159965,1.01092,0.912031,1.28873
72,-0.303599,-0.355215,-0.296056,-0.7808,-0.13453,1.20319,-0.907295,-2.36695
73,0.179647,1.10294,0.829975,-0.653509,0.161325,-0.390489,0.712207,1.97922
74,-0.291842,-0.285115,-0.170363,-0.0365616,-0.807838,-0.284061,0.341991,0.716021
75,0.334843,-0.221162,0.327258,-0.553969,0.404604,-0.279853,-0.88332,-0.544623
76,0.249671,0.665874,0.32878,-0.234324,0.071818,1.08376,0.179638,0.24408
77,0.315107,1.0949,0.207528,-0.225254,-0.164991,-0.344034,-1.58106,-0.387726
78,1.4665,-0.0196818,0.197167,-0.444762,-0.580907,0.530191,0.059741,0.785024
79,-0.250568,-0.313676,0.535429,-0.203174,1.14154,-0.228235,-0.283468,1.73017
80,-0.0791083,-0.58563,-0.647162,1.08851,-0.21924,-0.427319,0.0163063,2.35743
81,-0.331145,-0.242729,0.427145,1.28946,0.111218,-0.161611,0.174302,-0.913642
82,-0.427662,0.324683,-0.822468,-0.868834,-0.00102908,0.0548256,-0.547278,4.84203
83,-0.179936,1.04833,0.829252,0.852597,-0.643206,0.229651,-0.141776,-4.90434
84,0.367771,0.240754,0.424138,1.79687,1.69802,0.713779,0.392824,3.81485
85,-0.262036,0.29558,-1.44787,0.085296,-0.180753,1.09353,-0.175327,0.66572
86,0.109075,-0.0217694,-0.337634,0.69087,0.51929,0.899011,-0.544845,0.984264
87,0.769101,-0.517175,-0.0772017,-0.233795,-0.894399,0.0942159,0.770955,-2.79395
88,-0.070364,0.0879238,-0.49206,-0.57821,0.500752,0.115539,-0.409883,-1.11593
89,0.427972,-0.180505,1.23308,0.605131,0.525548,-0.0307859,-1.24089,0.0561681
90,0.190059,0.259717,0.366221,0.744629,0.0722358,1.0512,-0.876512,0.62436
91,0.445112,-0.353951,-0.231639,-0.724303,0.510331,0.970366,-0.912909,3.30165
92,-0.903851,0.860749,0.23319,-0.296602,-0.00539598,0.103113,-0.784551,3.36556
93,0.371062,0.567665,-0.465083,0.456024,0.511128,0.338463,0.269821,-2.89984
94,-0.663268,-0.157235,0.083535,0.27991,-0.12058,0.234699,-0.826771,2.53437
95,-0.438357,-1.58411,-0.124528,1.3252,-0.270087,0.6542,-0.44839,2.87784
96,0.283008,0.129617,-0.464338,0.922126,0.464359,0.822055,1.26117,-4.16466
97,0.517888,-1.82807,0.715838,0.885476,0.06787,0.245769,0.298035,-0.0369912
98,-0.794342,-0.194529,0.228378,-0.465652,-0.769714,0.620665,0.64726,3.2257
99,0.301839,-0.310496,0.0835019,0.555656,0.586243,0.659307,0.233322,-0.313716
100,0.637496,-0.403877,0.320369,-1.08761,0.0500829,-0.0659407,0.415634,-3.75916
101,1.80905,0.662972,0.413868,0.157718,-0.177288,0.0820167,0.237362,0.00816597
102,-0.0638987,-0.502763,0.497725,0.00770992,0.776752,0.603461,-0.0688343,0.281967
103,0.242872,-0.0887262,0.092333,0.243869,0.320147,-0.37641,0.44245,-2.09897
104,-0.743892,-0.873914,0.0533838,0.769372,-0.762478,-0.349003,-0.124191,0.901972
105,-0.730619,-0.161533,0.139799,-0.531483,0.221509,-0.581156,0.745886,0.413392
106,0.416409,-0.848631,-0.339667,-0.321601,0.656882,-0.0798115,0.112123,-0.36668
107,-0.0122799,0.467411,0.207445,0.55174,-0.695174,-0.0902953,-1.13407,1.05127
108,-0.80129,-0.272389,0.378325,0.631872,0.969351,0.362065,0.281712,-0.686663
