n,value
0,-0.203411
1,1.01706
2,0.610234
3,0.610234
4,1.42388
5,0.610234
6,-0.203411
7,0.203411
8,-0.610234
9,-1.42388
10,-0.610234
11,-0.610234
12,-1.01706
13,0.203411
14,1.01706
15,0.610234
16,1.01706
17,1.42388
18,0.203411
19,-0.203411
20,0.203411
21,-1.01706
22,-1.42388
23,-0.610234
24,-0.610234
25,-0.610234
26,0.610234
27,1.01706
28,0.610234
29,1.01706
30,1.01706
31,0.203411
32,-0.203411
33,-0.203411
34,-1.01706
35,-1.01706
36,-0.610234
37,-1.01706
38,-0.610234
39,0.610234
40,0.610234
41,0.610234
42,1.42388
43,1.01706
44,-0.203411
45,0.203411
46,-0.203411
47,-1.42388
48,-1.01706
49,-0.610234
50,-1.01706
51,-0.203411
52,1.01706
53,0.610234
54,0.610234
55,1.42388
56,0.610234
57,-0.203411
58,0.203411
59,-0.610234
60,-1.42388
61,-0.610234
62,-0.610234
63,-1.01706
